r p q1 q2
0 0.15297694062845335 0.04546227414947406 0.0883191399766070
1 0.23047928508064378 0.027399881712808764 0.14056735063716264
2 0.26145003899739494 0.06208745271146354 0.0739711564822338
3 0.16075869940803733 0.04141451179465841 0.1133378202897297
4 0.10501196601623522 0.04392432925838776 0.0805931752963914
5 0.20096158185519866 0.050950174003406144 0.13851113045751381
6 0.07973634912444942 0.040564026990127636 0.0697839471876707
7 0.4029168312426273 0.06869253927428118 0.15610004418887125
8 0.24846585791684075 0.03271335932393753 0.1313634020896732
9 0.17915866498306363 0.02765368382546658 0.09738724412113084
10 0.12716934918805806 0.024701181894184725 0.13379708104861548
11 0.19414154067171568 0.05671992796890766 0.11591831059513037
12 0.22596795299748573 0.04918257712501447 0.1163685575506658
13 0.2222345744114594 0.08563350613274742 0.11177844414223442
14 0.16520117002786275 0.05778965058506453 0.11912911810094542
15 0.24714360131084065 0.05773533306769493 0.06734971274712022
16 0.29179669863250085 0.06256391294830721 0.10695017251091793
17 0.341914209451284 0.039135535927032936 0.13753973010547657
18 0.2348514309438744 0.06072808816217618 0.10336200640995441
19 0.20050105023903494 0.02394214894690195 0.07739635747274932
20 0.3785996908593529 0.1455324099941398 0.07385319998905783
21 0.07920688860623468 0.024375019954724568 0.12914175038652753
22 0.2747472505955984 0.04439610576248993 0.13308347125436934
23 0.1196662614574836 0.08387570409439507 0.13352449572284777
24 0.27944718224907056 0.03371989376981812 0.0853939446420855
25 0.21747906783097568 0.03182058462815607 0.14589698750862634
26 0.2536181150521966 0.04788667162434431 0.1216478351873237
27 0.27542665286192625 0.059137732768547106 0.0943634442379428
28 0.26494710481265493 0.055361550628058684 0.09493103170969312
29 0.1739357543033389 0.048024114656106426 0.06640770033931058
30 0.17581302408177524 0.03816890338343276 0.09129717063956672
31 0.11974921310079548 0.04656232476029282 0.10494755020688633
32 0.250839856340606 0.028915905460410004 0.16746978988328573
33 0.19842407603317755 0.03404961696551543 0.08614496470908707
34 0.19140113816764887 0.04040086668160883 0.10230550653582718
35 0.2533987941640901 0.04054261084985921 0.11793470320933908
36 0.0976837729025632 0.031862126709552976 0.08184834473002087
37 0.18966492733989462 0.059526917629533396 0.05861566084761092
38 0.16994278516795008 0.031327882905580855 0.1082280035264282
39 0.3197727696808883 0.06832303507845072 0.19390407254719477
40 0.16181825350045434 0.054286630137522496 0.06955756815520246
41 0.3023688535772556 0.05670910286848128 0.08336716285567457
42 0.3185613544834491 0.06359047633559961 0.04747098573521607
43 0.22888751090392742 0.0772402332487427 0.10129856110247129
44 0.2142553263624668 0.05358134282857933 0.07417510325901962
45 0.3032372363432736 0.04780506781035017 0.13639404241317843
46 0.14239959381029652 0.042143629782293524 0.09181896511397669
47 0.15008791800533733 0.03330901024787924 0.11508234621122886
48 0.24810087877813553 0.04653550195594131 0.09847477711320675
49 0.24151853966654532 0.07371310019484911 0.060369803144704484
50 0.18068441462191354 0.07014346814518653 0.12046479330392719
51 0.21739180860409685 0.0356184929708063 0.0999020080684345
52 0.1379561974797972 0.0613404349743394 0.07047271651571287
53 0.17714622446945755 0.07929314020882039 0.10363172035177137
54 0.13778777506024564 0.04104264744156468 0.06826969546569625
55 0.15230606934355584 0.07891238108674424 0.07587838730193941
56 0.19537383129489388 0.04902325018095738 0.06264545340744396
57 0.16576640961204453 0.04273310803512727 0.13135570558803014
