n p q1 q2
0 0.55 0.3 0.4
1 0.5542449881180911 0.23770060522148262 0.3626508827809832
2 0.5557249580054869 0.18153218140595456 0.32473662656244534
3 0.5534746167028061 0.1381043751625971 0.2893260324500866
4 0.546336544302866 0.10979292573089507 0.25754558599951216
5 0.5345082806974889 0.09319668460689098 0.2300527505492223
6 0.5194733189129694 0.08360828465349332 0.20747311938661842
7 0.5027793278882579 0.07771106324181322 0.18991250699339726
8 0.4855303578340298 0.07367717054882039 0.1767671718240704
9 0.46843655007906065 0.07060267122248 0.16706276532613043
10 0.45193701055142477 0.06806088329801938 0.15984020456214204
11 0.4362813819345335 0.06585230997190544 0.15433831730781472
12 0.42158840673154224 0.06388161222445311 0.15001560322665303
13 0.4078925396712759 0.0621004600879938 0.14650757621081106
14 0.39517875057012936 0.06048167438263737 0.1435749564718208
15 0.38340592894613124 0.05900768217557324 0.14106172054630256
16 0.3725212251031097 0.05766540488643357 0.13886559735377768
17 0.3624681469483768 0.05644400524240052 0.13691858779114674
18 0.35319075419431645 0.0553338932060805 0.13517447958079964
19 0.3446355863611897 0.05432628251632563 0.13360094962908164
20 0.33675236173311884 0.05341298787767992 0.13217458967650805
21 0.3294940628438732 0.05258632865335368 0.13087777212931984
22 0.3228167541807175 0.05183908123190249 0.12969667036568774
23 0.31667931462559834 0.05116445470056318 0.1286200043254772
24 0.3110431726956805 0.050556078018483566 0.1276382433865613
25 0.3058720803169031 0.05000799255842182 0.126743098699754
26 0.30113193353513557 0.04951464641390819 0.12592719927201662
27 0.2967906356445775 0.04907088819805632 0.12518388475203157
28 0.2928179932886773 0.04867195893207173 0.1245070721202372
29 0.289185635361229 0.04831348128369572 0.1238911688409874
30 0.285866945790454 0.04799144593335657 0.12333101486031896
31 0.28283700327870354 0.047702195230313056 0.12282184217991599
32 0.2800725231291962 0.04744240455865916 0.122359244866438
33 0.2775517980993424 0.04720906197724957 0.12193915504898077
34 0.2752546366575498 0.046999446749197385 0.1215578222109961
35 0.27316229807582965 0.046811107359610964 0.1212117942147919
36 0.27125742450659324 0.046641839558040285 0.12089789921523018
37 0.2695239706323593 0.04648966487481092 0.12061322806315365
38 0.26794713170806866 0.04635280996371176 0.12035511706186844
39 0.2665132708972262 0.04622968702846561 0.1201211310850356
40 0.2652098467846737 0.04611887550407041 0.11990904713457426
41 0.264025341869001 0.04601910509020564 0.11971683844162406
42 0.2629491927248147 0.045929240173797736 0.11954265921155695
43 0.26197172239920274 0.04584826563126862 0.11938483009804944
44 0.26108407548096657 0.04577527396670352 0.11924182446928754
45 0.2602781561636632 0.04570945371843849 0.11911225550631176
46 0.2595465695186408 0.045650079051498885 0.11899486415203689
47 0.25888256610407345 0.04559650044508272 0.11888850791096545
48 0.2582799899607064 0.0455481363812377 0.11879215048454894
49 0.25773322998400783 0.04550446594161317 0.11870485221553727
50 0.2572371746142002 0.045465022222529135 0.11862576130619068
51 0.25678716974884286 0.045429386483670994 0.1185541057694836
52 0.25637897975544993 0.04539718295179425 0.11848918606895396
53 0.2560087514425912 0.04536807420737884 0.11843036840116808
