n p q1 q2
0 0.6 0.3 0.4
1 0.6105494776047207 0.2562547784574658 0.34193338130725043
2 0.6163218495597372 0.22023887544976922 0.2939619705450297
3 0.6150266272783017 0.19091642425987015 0.25791134918845177
4 0.6070302277224552 0.16731972758210778 0.23137159890167286
5 0.5934218990593653 0.14866540185997332 0.2120652329766696
6 0.5753890850230918 0.13407953029663539 0.19809052154788878
7 0.5541161696320679 0.12261257398313276 0.1878242702098611
8 0.5306943220544456 0.1134017664081261 0.17996089244364816
9 0.5060324828496621 0.10577492689631778 0.17353277036412362
10 0.4808263910731805 0.09926022446877202 0.16787081196318837
11 0.4555821761057697 0.09354755164927929 0.1625377283356564
12 0.4306642207645693 0.08844159208116852 0.15726453622871742
13 0.4063434526394194 0.08382356845626211 0.15190216853093944
14 0.382834898686725 0.07962445438766001 0.14638816959781378
15 0.36032163062106304 0.07580720145440738 0.14072412786467486
16 0.3389661062419293 0.07235473983936644 0.134959113559199
17 0.31891152487147295 0.06926126469559762 0.12917549779449808
18 0.30027659525941813 0.06652537818192802 0.12347509633035804
19 0.28314751266039123 0.06414457107787874 0.11796520165983379
20 0.26757082230077106 0.06211112693205099 0.11274542664592693
21 0.2535499793732461 0.060409744810692716 0.1078970180315835
22 0.24104688617830436 0.05901703247213344 0.1034761649448509
23 0.22998799759122335 0.05790267049325493 0.09951194230660924
24 0.22027336896304534 0.057031708915352974 0.0960083798044586
25 0.2117866238940302 0.05636730400428023 0.09294929868815113
26 0.20440414576467664 0.05587327507843273 0.0903043077374784
27 0.1980024786195239 0.055516082020779706 0.08803462482978304
28 0.19246360010506106 0.05526607458067535 0.08609791372660446
29 0.1876782054612843 0.05509805800127104 0.08445183242774916
30 0.18354738312436855 0.05499132514205066 0.0830563412740991
31 0.17998312424752957 0.054929334580376195 0.0818749972287859
32 0.1769080663047977 0.05489919566995572 0.08087550943409222
33 0.17425478623848834 0.05489108237654675 0.08002980668987511
34 0.17196486901204316 0.05489765618013642 0.07931381383933007
35 0.16998790085390936 0.05491354359872728 0.07870707720890564
36 0.16828047832675072 0.05493488874519013 0.07819233110581078
37 0.16680528364502895 0.05495898513069012 0.07775506122968054
38 0.16553024996757065 0.05498398169336932 0.07738309584289911
39 0.16442782393288793 0.05500865361532659 0.0770662393296316
40 0.16347432324310293 0.05503222710103897 0.07679595289063963
41 0.16264938217425928 0.05505424761525273 0.07656508150778595
42 0.16193547575917713 0.05507448224595526 0.07636762343125753
43 0.16131751289222684 0.05509284833356152 0.07619853722591978
44 0.1607824889997122 0.055109361990474934 0.07605358115594944
45 0.16031918974743603 0.05512410147614504 0.07592917994298937
46 0.15991793824883002 0.05513718153276532 0.0758223144313802
47 0.15957037924209563 0.05514873571747239 0.07573043027685349
48 0.1592692946455343 0.05515890450528675 0.07565136235584158
49 0.1590084457421425 0.05516782751044888 0.07558327212784603
50 0.15878243797774005 0.055175638611803406 0.07552459565493974
51 0.1585866049844588 0.055182463098027955 0.07547400038639743
52 0.15841690897281732 0.05518841619464018 0.07543034915594171
53 0.15826985508257452 0.05519360251649455 0.07539267012084022
54 0.15814241765717074 0.05519811612261819 0.07536013160391418
55 0.1580319767200753 0.05520204094699676 0.0753320209891658
56 0.1579362631936932 0.05520545144873028 0.0753077269763211
57 0.15785331162126762 0.05520841337496482 0.07528672462532345
58 0.15778141933664597 0.05521098456551642 0.07526856272399576
59 0.15771911118190687 0.055213215753115046 0.07525285309513106
60 0.15766510900364888 0.05521515133063065 0.0752392615268049
61 0.15761830526933723 0.0552168300686488 0.07522750006469438
62 0.15757774023883983 0.05521828577490784 0.07521732045004989
63 0.1575425822059631 0.05521954789251447 0.07520850852363152
